	Source Rationale	LLM Detected Gene	Expected Gene	LLM Detected Cell	Expected Cell
0	We identified six distinct subpopulations of human ASPCs (see Supplementary Note 1) in subclustered scRNA-seq and sNuc-seq samples, all of which express the common marker gene PDGFRA (Extended Data Fig. 7a, b).	PDGFRA	PDGFRA		 human ASPC
1	For example, mASPC2 and hASPC2 are characterized by high expression of Aldh1a3 and ALDH1A3, respectively, and strongly resemble previously identified early multipotent progenitor cells that reside in the reticular interstitium of the fat pad5.	Aldh1a3	ALDH1A3	early multipotent progenitor cells	 hASPC2
2	For example, mASPC2 and hASPC2 are characterized by high expression of Aldh1a3 and ALDH1A3, respectively, and strongly resemble previously identified early multipotent progenitor cells that reside in the reticular interstitium of the fat pad5.	ALDH1A3	ALDH1A3	early multipotent progenitor cells	 hASPC2
3	Similarly, mASPC4 and hASPC4 express Epha3 and EPHA3, respectively, and probably represent the anti-adipogenic ‘adipogenesis-regulatory’ cells (Aregs) population reported by Schwalie et al.3	Epha3	EPHA3	anti-adipogenic 'adipogenesis-regulatory' cells (Aregs)	 hASPC4
4	Similarly, mASPC4 and hASPC4 express Epha3 and EPHA3, respectively, and probably represent the anti-adipogenic ‘adipogenesis-regulatory’ cells (Aregs) population reported by Schwalie et al.3	EPHA3	EPHA3	anti-adipogenic 'adipogenesis-regulatory' cells (Aregs)	 hASPC4
5	Thus, the adipokines adiponectin and adipsin (encoded by CFD) are most highly expressed in hAd3,	adiponectin	CFD	hAd3	 hAd3
6	Thus, the adipokines adiponectin and adipsin (encoded by CFD) are most highly expressed in hAd3,	adipsin	CFD	hAd3	 hAd3
7	genes encoding insulin signalling components such as INSR, IRS1 and IRS2 are most highly expressed in hAd5	INSR	INSR	HAd5	 hAd5
8	genes encoding insulin signalling components such as INSR, IRS1 and IRS2 are most highly expressed in hAd5	INSR	IRS1	HAd5	 hAd5
9	genes encoding insulin signalling components such as INSR, IRS1 and IRS2 are most highly expressed in hAd5	INSR	IRS2	HAd5	 hAd5
10	genes encoding insulin signalling components such as INSR, IRS1 and IRS2 are most highly expressed in hAd5	IRS1	INSR	HAd5	 hAd5
11	genes encoding insulin signalling components such as INSR, IRS1 and IRS2 are most highly expressed in hAd5	IRS1	IRS1	HAd5	 hAd5
12	genes encoding insulin signalling components such as INSR, IRS1 and IRS2 are most highly expressed in hAd5	IRS1	IRS2	HAd5	 hAd5
13	genes encoding insulin signalling components such as INSR, IRS1 and IRS2 are most highly expressed in hAd5	IRS2	INSR	HAd5	 hAd5
14	genes encoding insulin signalling components such as INSR, IRS1 and IRS2 are most highly expressed in hAd5	IRS2	IRS1	HAd5	 hAd5
15	genes encoding insulin signalling components such as INSR, IRS1 and IRS2 are most highly expressed in hAd5	IRS2	IRS2	HAd5	 hAd5
16	hAd3 was associated with ‘triglyceride biosynthesis’ andincluded higher expression of DGAT2, SREBF1 and PNPLA3	DGAT2	DGAT2	adipocytes	hAd3
17	hAd3 was associated with ‘triglyceride biosynthesis’ andincluded higher expression of DGAT2, SREBF1 and PNPLA3	DGAT2	SREBF1	adipocytes	hAd3
18	hAd3 was associated with ‘triglyceride biosynthesis’ andincluded higher expression of DGAT2, SREBF1 and PNPLA3	DGAT2	PNPLA3	adipocytes	hAd3
19	hAd3 was associated with ‘triglyceride biosynthesis’ andincluded higher expression of DGAT2, SREBF1 and PNPLA3	SREBF1	DGAT2	adipocytes	hAd3
20	hAd3 was associated with ‘triglyceride biosynthesis’ andincluded higher expression of DGAT2, SREBF1 and PNPLA3	SREBF1	SREBF1	adipocytes	hAd3
21	hAd3 was associated with ‘triglyceride biosynthesis’ andincluded higher expression of DGAT2, SREBF1 and PNPLA3	SREBF1	PNPLA3	adipocytes	hAd3
22	hAd3 was associated with ‘triglyceride biosynthesis’ andincluded higher expression of DGAT2, SREBF1 and PNPLA3	PNPLA3	DGAT2	adipocytes	hAd3
23	hAd3 was associated with ‘triglyceride biosynthesis’ andincluded higher expression of DGAT2, SREBF1 and PNPLA3	PNPLA3	SREBF1	adipocytes	hAd3
24	hAd3 was associated with ‘triglyceride biosynthesis’ andincluded higher expression of DGAT2, SREBF1 and PNPLA3	PNPLA3	PNPLA3	adipocytes	hAd3
25	The hAd4 cluster expresses the highest amounts of several fatty acid desaturases, including ELOVL5 and FADS3 (Extended Data Fig. 9j), which is particularly interesting in light of the insulin-sensitizing role of unsaturated lipokines such as palmitoleate27.	ELOVL5	ELOVL5	hAd4 cluster	 hAd4
26	The hAd4 cluster expresses the highest amounts of several fatty acid desaturases, including ELOVL5 and FADS3 (Extended Data Fig. 9j), which is particularly interesting in light of the insulin-sensitizing role of unsaturated lipokines such as palmitoleate27.	ELOVL5	FADS3	hAd4 cluster	 hAd4
27	The hAd4 cluster expresses the highest amounts of several fatty acid desaturases, including ELOVL5 and FADS3 (Extended Data Fig. 9j), which is particularly interesting in light of the insulin-sensitizing role of unsaturated lipokines such as palmitoleate27.	FADS3	ELOVL5	hAd4 cluster	 hAd4
28	The hAd4 cluster expresses the highest amounts of several fatty acid desaturases, including ELOVL5 and FADS3 (Extended Data Fig. 9j), which is particularly interesting in light of the insulin-sensitizing role of unsaturated lipokines such as palmitoleate27.	FADS3	FADS3	hAd4 cluster	 hAd4
